Voltage U1	Corriente IA	Voltage U2	Voltage U3	Voltage UH
6,47	0,47	2,6	6,0	4,7
6,49	0,46	2,6	6,0	4,7
6,52	0,47	2,6	6,0	4,7
6,54	0,47	2,6	6,0	4,7
6,56	0,48	2,6	6,0	4,7
6,59	0,48	2,6	6,0	4,7
6,61	0,47	2,6	6,0	4,7
6,64	0,47	2,6	6,0	4,7
6,66	0,48	2,6	6,0	4,7
6,69	0,48	2,6	6,0	4,7
6,71	0,48	2,6	6,0	4,7
6,73	0,48	2,6	6,0	4,7
6,76	0,48	2,6	6,0	4,7
6,78	0,48	2,6	6,0	4,7
6,81	0,49	2,6	6,0	4,7
6,83	0,49	2,6	6,0	4,7
6,86	0,49	2,6	6,0	4,7
6,88	0,48	2,6	6,0	4,7
6,91	0,49	2,6	6,0	4,7
6,93	0,49	2,6	6,0	4,7
6,95	0,49	2,6	6,0	4,7
6,98	0,49	2,6	6,0	4,7
7,00	0,50	2,6	6,0	4,7
7,03	0,51	2,6	6,0	4,7
7,05	0,49	2,6	6,0	4,7
7,08	0,49	2,6	6,0	4,7
7,10	0,50	2,6	6,0	4,7
7,13	0,50	2,6	6,0	4,7
7,15	0,51	2,6	6,0	4,7
7,17	0,50	2,6	6,0	4,7
7,20	0,50	2,6	6,0	4,7
7,22	0,49	2,6	6,0	4,7
7,25	0,49	2,6	6,0	4,7
7,27	0,50	2,6	6,0	4,7
7,30	0,50	2,6	6,0	4,7
7,32	0,49	2,6	6,0	4,7
7,35	0,49	2,6	6,0	4,7
7,37	0,50	2,6	6,0	4,7
7,39	0,51	2,6	6,0	4,7
7,42	0,51	2,6	6,0	4,7
7,44	0,52	2,6	6,0	4,7
7,47	0,51	2,6	6,0	4,7
7,49	0,50	2,6	6,0	4,7
7,52	0,50	2,6	6,0	4,7
7,54	0,51	2,6	6,0	4,7
7,57	0,51	2,6	6,0	4,7
7,59	0,52	2,6	6,0	4,7
7,61	0,51	2,6	6,0	4,7
7,64	0,51	2,6	6,0	4,7
7,66	0,51	2,6	6,0	4,7
7,69	0,51	2,6	6,0	4,7
7,71	0,52	2,6	6,0	4,7
7,74	0,51	2,6	6,0	4,7
7,76	0,51	2,6	6,0	4,7
7,78	0,51	2,6	6,0	4,7
7,81	0,52	2,6	6,0	4,7
7,83	0,53	2,6	6,0	4,7
7,86	0,53	2,6	6,0	4,7
7,88	0,53	2,6	6,0	4,7
7,91	0,53	2,6	6,0	4,7
7,93	0,53	2,6	6,0	4,7
7,96	0,53	2,6	6,0	4,7
7,98	0,53	2,6	6,0	4,7
8,00	0,53	2,6	6,0	4,7
8,03	0,53	2,6	6,0	4,7
8,05	0,53	2,6	6,0	4,7
8,08	0,53	2,6	6,0	4,7
8,10	0,53	2,6	6,0	4,7
8,13	0,54	2,6	6,0	4,7
8,15	0,53	2,6	6,0	4,7
8,18	0,53	2,6	6,0	4,7
8,20	0,53	2,6	6,0	4,7
8,22	0,53	2,6	6,0	4,7
8,25	0,54	2,6	6,0	4,7
8,27	0,55	2,6	6,0	4,7
8,30	0,55	2,6	6,0	4,7
8,32	0,55	2,6	6,0	4,7
8,35	0,55	2,6	6,0	4,7
8,37	0,55	2,6	6,0	4,7
8,40	0,55	2,6	6,0	4,7
8,42	0,55	2,6	6,0	4,7
8,44	0,55	2,6	6,0	4,7
8,47	0,55	2,6	6,0	4,7
8,49	0,55	2,6	6,0	4,7
8,52	0,55	2,6	6,0	4,7
8,54	0,55	2,6	6,0	4,7
8,57	0,56	2,6	6,0	4,7
8,59	0,56	2,6	6,0	4,7
8,62	0,54	2,6	6,0	4,7
8,64	0,55	2,6	6,0	4,7
8,66	0,56	2,6	6,0	4,7
8,69	0,56	2,6	6,0	4,7
8,71	0,56	2,6	6,0	4,7
8,74	0,56	2,6	6,0	4,7
8,76	0,57	2,6	6,0	4,7
8,79	0,55	2,6	6,0	4,7
8,81	0,55	2,6	6,0	4,7
8,84	0,56	2,6	6,0	4,7
8,86	0,56	2,6	6,0	4,7
8,88	0,55	2,6	6,0	4,7
8,91	0,55	2,6	6,0	4,7
8,93	0,55	2,6	6,0	4,7
8,96	0,55	2,6	6,0	4,7
8,98	0,56	2,6	6,0	4,7
9,01	0,57	2,6	6,0	4,7
9,03	0,56	2,6	6,0	4,7
9,05	0,56	2,6	6,0	4,7
9,08	0,56	2,6	6,0	4,7
9,10	0,57	2,6	6,0	4,7
9,13	0,57	2,6	6,0	4,7
9,15	0,57	2,6	6,0	4,7
9,18	0,57	2,6	6,0	4,7
9,20	0,56	2,6	6,0	4,7
9,23	0,56	2,6	6,0	4,7
9,25	0,56	2,6	6,0	4,7
9,27	0,57	2,6	6,0	4,7
9,30	0,56	2,6	6,0	4,7
9,32	0,56	2,6	6,0	4,7
9,35	0,56	2,6	6,0	4,7
9,37	0,57	2,6	6,0	4,7
9,40	0,57	2,6	6,0	4,7
9,42	0,57	2,6	6,0	4,7
9,45	0,58	2,6	6,0	4,7
9,47	0,57	2,6	6,0	4,7
9,49	0,57	2,6	6,0	4,7
9,52	0,58	2,6	6,0	4,7
9,54	0,58	2,6	6,0	4,7
9,57	0,58	2,6	6,0	4,7
9,59	0,58	2,6	6,0	4,7
9,62	0,58	2,6	6,0	4,7
9,64	0,58	2,6	6,0	4,7
9,67	0,57	2,6	6,0	4,7
9,69	0,58	2,6	6,0	4,7
9,71	0,58	2,6	6,0	4,7
9,74	0,58	2,6	6,0	4,7
9,76	0,58	2,6	6,0	4,7
9,79	0,58	2,6	6,0	4,7
9,81	0,59	2,6	6,0	4,7
9,84	0,59	2,6	6,0	4,7
9,86	0,60	2,6	6,0	4,7
9,89	0,59	2,6	6,0	4,7
9,91	0,58	2,6	6,0	4,7
9,93	0,59	2,6	6,0	4,7
9,96	0,59	2,6	6,0	4,7
9,98	0,59	2,6	6,0	4,7
10,01	0,59	2,6	6,0	4,7
10,03	0,59	2,6	6,0	4,7
10,06	0,59	2,6	6,0	4,7
10,08	0,58	2,6	6,0	4,7
10,10	0,58	2,6	6,0	4,7
10,13	0,59	2,6	6,0	4,7
10,15	0,59	2,6	6,0	4,7
10,18	0,59	2,6	6,0	4,7
10,20	0,59	2,6	6,0	4,7
10,23	0,59	2,6	6,0	4,7
10,25	0,60	2,6	6,0	4,7
10,28	0,60	2,6	6,0	4,7
10,30	0,61	2,6	6,0	4,7
10,32	0,61	2,6	6,0	4,7
10,35	0,60	2,6	6,0	4,7
10,37	0,60	2,6	6,0	4,7
10,40	0,61	2,6	6,0	4,7
10,42	0,61	2,6	6,0	4,7
10,45	0,61	2,6	6,0	4,7
10,47	0,61	2,6	6,0	4,7
10,50	0,61	2,6	6,0	4,7
10,52	0,60	2,6	6,0	4,7
10,54	0,60	2,6	6,0	4,7
10,57	0,61	2,6	6,0	4,7
10,59	0,61	2,6	6,0	4,7
10,62	0,60	2,6	6,0	4,7
10,64	0,61	2,6	6,0	4,7
10,67	0,61	2,6	6,0	4,7
10,69	0,62	2,6	6,0	4,7
10,72	0,62	2,6	6,0	4,7
10,74	0,62	2,6	6,0	4,7
10,76	0,61	2,6	6,0	4,7
10,79	0,61	2,6	6,0	4,7
10,81	0,62	2,6	6,0	4,7
10,84	0,62	2,6	6,0	4,7
10,86	0,62	2,6	6,0	4,7
10,89	0,62	2,6	6,0	4,7
10,91	0,61	2,6	6,0	4,7
10,94	0,61	2,6	6,0	4,7
10,96	0,61	2,6	6,0	4,7
10,98	0,61	2,6	6,0	4,7
11,01	0,61	2,6	6,0	4,7
11,03	0,61	2,6	6,0	4,7
11,06	0,61	2,6	6,0	4,7
11,08	0,61	2,6	6,0	4,7
11,11	0,62	2,6	6,0	4,7
11,13	0,63	2,6	6,0	4,7
11,15	0,63	2,6	6,0	4,7
11,18	0,63	2,6	6,0	4,7
11,20	0,63	2,6	6,0	4,7
11,23	0,63	2,6	6,0	4,7
11,25	0,63	2,6	6,0	4,7
11,28	0,63	2,6	6,0	4,7
11,30	0,63	2,6	6,0	4,7
11,33	0,63	2,6	6,0	4,7
11,35	0,63	2,6	6,0	4,7
11,37	0,63	2,6	6,0	4,7
11,40	0,62	2,6	6,0	4,7
11,42	0,63	2,6	6,0	4,7
11,45	0,63	2,6	6,0	4,7
11,47	0,63	2,6	6,0	4,7
11,50	0,63	2,6	6,0	4,7
11,52	0,64	2,6	6,0	4,7
11,55	0,64	2,6	6,0	4,7
11,57	0,64	2,6	6,0	4,7
11,59	0,65	2,6	6,0	4,7
11,62	0,64	2,6	6,0	4,7
11,64	0,64	2,6	6,0	4,7
11,67	0,64	2,6	6,0	4,7
11,69	0,65	2,6	6,0	4,7
11,72	0,65	2,6	6,0	4,7
11,74	0,64	2,6	6,0	4,7
11,77	0,64	2,6	6,0	4,7
11,79	0,64	2,6	6,0	4,7
11,81	0,64	2,6	6,0	4,7
11,84	0,64	2,6	6,0	4,7
11,86	0,64	2,6	6,0	4,7
11,89	0,64	2,6	6,0	4,7
11,91	0,63	2,6	6,0	4,7
11,94	0,64	2,6	6,0	4,7
11,96	0,65	2,6	6,0	4,7
11,99	0,66	2,6	6,0	4,7
12,01	0,66	2,6	6,0	4,7
12,03	0,65	2,6	6,0	4,7
12,06	0,65	2,6	6,0	4,7
12,08	0,63	2,6	6,0	4,7
12,11	0,65	2,6	6,0	4,7
12,13	0,65	2,6	6,0	4,7
12,16	0,64	2,6	6,0	4,7
12,18	0,64	2,6	6,0	4,7
12,21	0,64	2,6	6,0	4,7
12,23	0,65	2,6	6,0	4,7
12,25	0,65	2,6	6,0	4,7
12,28	0,66	2,6	6,0	4,7
12,30	0,66	2,6	6,0	4,7
12,33	0,65	2,6	6,0	4,7
12,35	0,65	2,6	6,0	4,7
12,38	0,66	2,6	6,0	4,7
12,40	0,66	2,6	6,0	4,7
12,42	0,67	2,6	6,0	4,7
12,45	0,66	2,6	6,0	4,7
12,47	0,67	2,6	6,0	4,7
12,50	0,67	2,6	6,0	4,7
12,52	0,67	2,6	6,0	4,7
12,55	0,67	2,6	6,0	4,7
12,57	0,67	2,6	6,0	4,7
12,60	0,67	2,6	6,0	4,7
12,62	0,67	2,6	6,0	4,7
12,64	0,67	2,6	6,0	4,7
12,67	0,68	2,6	6,0	4,7
12,69	0,68	2,6	6,0	4,7
12,72	0,68	2,6	6,0	4,7
12,74	0,68	2,6	6,0	4,7
12,77	0,67	2,6	6,0	4,7
12,79	0,68	2,6	6,0	4,7
12,82	0,68	2,6	6,0	4,7
12,84	0,68	2,6	6,0	4,7
12,86	0,69	2,6	6,0	4,7
12,89	0,68	2,6	6,0	4,7
12,91	0,68	2,6	6,0	4,7
12,94	0,68	2,6	6,0	4,7
12,96	0,68	2,6	6,0	4,7
12,99	0,69	2,6	6,0	4,7
13,01	0,69	2,6	6,0	4,7
13,04	0,68	2,6	6,0	4,7
13,06	0,69	2,6	6,0	4,7
13,08	0,69	2,6	6,0	4,7
13,11	0,70	2,6	6,0	4,7
13,13	0,69	2,6	6,0	4,7
13,16	0,70	2,6	6,0	4,7
13,18	0,69	2,6	6,0	4,7
13,21	0,69	2,6	6,0	4,7
13,23	0,69	2,6	6,0	4,7
13,26	0,70	2,6	6,0	4,7
13,28	0,70	2,6	6,0	4,7
13,30	0,70	2,6	6,0	4,7
13,33	0,69	2,6	6,0	4,7
13,35	0,69	2,6	6,0	4,7
13,38	0,68	2,6	6,0	4,7
13,40	0,68	2,6	6,0	4,7
13,43	0,69	2,6	6,0	4,7
13,45	0,68	2,6	6,0	4,7
13,47	0,67	2,6	6,0	4,7
13,50	0,67	2,6	6,0	4,7
13,52	0,67	2,6	6,0	4,7
13,55	0,67	2,6	6,0	4,7
13,57	0,67	2,6	6,0	4,7
13,60	0,66	2,6	6,0	4,7
13,62	0,65	2,6	6,0	4,7
13,65	0,64	2,6	6,0	4,7
13,67	0,65	2,6	6,0	4,7
13,69	0,65	2,6	6,0	4,7
13,72	0,63	2,6	6,0	4,7
13,74	0,63	2,6	6,0	4,7
13,77	0,62	2,6	6,0	4,7
13,79	0,62	2,6	6,0	4,7
13,82	0,60	2,6	6,0	4,7
13,84	0,60	2,6	6,0	4,7
13,87	0,60	2,6	6,0	4,7
13,89	0,58	2,6	6,0	4,7
13,91	0,57	2,6	6,0	4,7
13,94	0,57	2,6	6,0	4,7
13,96	0,57	2,6	6,0	4,7
13,99	0,57	2,6	6,0	4,7
14,01	0,56	2,6	6,0	4,7
14,04	0,55	2,6	6,0	4,7
14,06	0,54	2,6	6,0	4,7
14,09	0,53	2,6	6,0	4,7
14,11	0,53	2,6	6,0	4,7
14,13	0,53	2,6	6,0	4,7
14,16	0,52	2,6	6,0	4,7
14,18	0,52	2,6	6,0	4,7
14,21	0,50	2,6	6,0	4,7
14,23	0,49	2,6	6,0	4,7
14,26	0,49	2,6	6,0	4,7
14,28	0,48	2,6	6,0	4,7
14,31	0,48	2,6	6,0	4,7
14,33	0,47	2,6	6,0	4,7
14,35	0,46	2,6	6,0	4,7
14,38	0,46	2,6	6,0	4,7
14,40	0,45	2,6	6,0	4,7
14,43	0,46	2,6	6,0	4,7
14,45	0,45	2,6	6,0	4,7
14,48	0,44	2,6	6,0	4,7
14,50	0,43	2,6	6,0	4,7
14,52	0,43	2,6	6,0	4,7
14,55	0,43	2,6	6,0	4,7
14,57	0,43	2,6	6,0	4,7
14,60	0,41	2,6	6,0	4,7
14,62	0,41	2,6	6,0	4,7
14,65	0,40	2,6	6,0	4,7
14,67	0,40	2,6	6,0	4,7
14,70	0,39	2,6	6,0	4,7
14,72	0,39	2,6	6,0	4,7
14,74	0,38	2,6	6,0	4,7
14,77	0,38	2,6	6,0	4,7
14,79	0,37	2,6	6,0	4,7
14,82	0,38	2,6	6,0	4,7
14,84	0,38	2,6	6,0	4,7
14,87	0,38	2,6	6,0	4,7
14,89	0,37	2,6	6,0	4,7
14,92	0,35	2,6	6,0	4,7
14,94	0,34	2,6	6,0	4,7
14,96	0,35	2,6	6,0	4,7
14,99	0,35	2,6	6,0	4,7
15,01	0,34	2,6	6,0	4,7
15,04	0,33	2,6	6,0	4,7
15,06	0,32	2,6	6,0	4,7
15,09	0,32	2,6	6,0	4,7
15,11	0,32	2,6	6,0	4,7
15,14	0,32	2,6	6,0	4,7
15,16	0,32	2,6	6,0	4,7
15,18	0,31	2,6	6,0	4,7
15,21	0,30	2,6	6,0	4,7
15,23	0,31	2,6	6,0	4,7
15,26	0,31	2,6	6,0	4,7
15,28	0,31	2,6	6,0	4,7
15,31	0,30	2,6	6,0	4,7
15,33	0,30	2,6	6,0	4,7
15,36	0,29	2,6	6,0	4,7
15,38	0,28	2,6	6,0	4,7
15,40	0,29	2,6	6,0	4,7
15,43	0,29	2,6	6,0	4,7
15,45	0,28	2,6	6,0	4,7
15,48	0,27	2,6	6,0	4,7
15,50	0,27	2,6	6,0	4,7
15,53	0,28	2,6	6,0	4,7
15,55	0,28	2,6	6,0	4,7
15,57	0,28	2,6	6,0	4,7
15,60	0,28	2,6	6,0	4,7
15,62	0,28	2,6	6,0	4,7
15,65	0,28	2,6	6,0	4,7
15,67	0,28	2,6	6,0	4,7
15,70	0,28	2,6	6,0	4,7
15,72	0,29	2,6	6,0	4,7
15,75	0,28	2,6	6,0	4,7
15,77	0,28	2,6	6,0	4,7
15,79	0,28	2,6	6,0	4,7
15,82	0,28	2,6	6,0	4,7
15,84	0,29	2,6	6,0	4,7
15,87	0,30	2,6	6,0	4,7
15,89	0,29	2,6	6,0	4,7
15,92	0,29	2,6	6,0	4,7
15,94	0,30	2,6	6,0	4,7
15,97	0,31	2,6	6,0	4,7
15,99	0,31	2,6	6,0	4,7
16,01	0,32	2,6	6,0	4,7
16,04	0,33	2,6	6,0	4,7
16,06	0,32	2,6	6,0	4,7
16,09	0,33	2,6	6,0	4,7
16,11	0,34	2,6	6,0	4,7
16,14	0,35	2,6	6,0	4,7
16,16	0,36	2,6	6,0	4,7
16,19	0,35	2,6	6,0	4,7
16,21	0,36	2,6	6,0	4,7
16,23	0,35	2,6	6,0	4,7
16,26	0,36	2,6	6,0	4,7
16,28	0,38	2,6	6,0	4,7
16,31	0,38	2,6	6,0	4,7
16,33	0,38	2,6	6,0	4,7
16,36	0,39	2,6	6,0	4,7
16,38	0,40	2,6	6,0	4,7
16,41	0,42	2,6	6,0	4,7
16,43	0,42	2,6	6,0	4,7
16,45	0,43	2,6	6,0	4,7
16,48	0,43	2,6	6,0	4,7
16,50	0,44	2,6	6,0	4,7
16,53	0,45	2,6	6,0	4,7
16,55	0,46	2,6	6,0	4,7
16,58	0,47	2,6	6,0	4,7
16,60	0,47	2,6	6,0	4,7
16,63	0,47	2,6	6,0	4,7
16,65	0,48	2,6	6,0	4,7
16,67	0,49	2,6	6,0	4,7
16,70	0,50	2,6	6,0	4,7
16,72	0,51	2,6	6,0	4,7
16,75	0,51	2,6	6,0	4,7
16,77	0,52	2,6	6,0	4,7
16,80	0,53	2,6	6,0	4,7
16,82	0,54	2,6	6,0	4,7
16,84	0,56	2,6	6,0	4,7
16,87	0,56	2,6	6,0	4,7
16,89	0,57	2,6	6,0	4,7
16,92	0,57	2,6	6,0	4,7
16,94	0,58	2,6	6,0	4,7
16,97	0,60	2,6	6,0	4,7
