Voltage U1	Corriente IA	Voltage U2	Voltage U3	Voltage UH
U1/V	IA/nA	U2/V	U3/V	UH/V

0,02	0,10	3,5	6,0	4,7
0,04	0,10	3,5	6,0	4,7
0,07	0,10	3,5	6,0	4,7
0,09	0,11	3,5	6,0	4,7
0,12	0,13	3,5	6,0	4,7
0,14	0,12	3,5	6,0	4,7
0,17	0,13	3,5	6,0	4,7
0,19	0,14	3,5	6,0	4,7
0,21	0,14	3,5	6,0	4,7
0,24	0,14	3,5	6,0	4,7
0,26	0,15	3,5	6,0	4,7
0,29	0,16	3,5	6,0	4,7
0,31	0,16	3,5	6,0	4,7
0,34	0,16	3,5	6,0	4,7
0,36	0,16	3,5	6,0	4,7
0,39	0,17	3,5	6,0	4,7
0,41	0,17	3,5	6,0	4,7
0,43	0,18	3,5	6,0	4,7
0,46	0,18	3,5	6,0	4,7
0,48	0,18	3,5	6,0	4,7
0,51	0,18	3,5	6,0	4,7
0,53	0,19	3,5	6,0	4,7
0,56	0,20	3,5	6,0	4,7
0,58	0,20	3,5	6,0	4,7
0,61	0,20	3,5	6,0	4,7
0,63	0,20	3,5	6,0	4,7
0,65	0,20	3,5	6,0	4,7
0,68	0,20	3,5	6,0	4,7
0,70	0,20	3,5	6,0	4,7
0,73	0,20	3,5	6,0	4,7
0,75	0,20	3,5	6,0	4,7
0,78	0,20	3,5	6,0	4,7
0,80	0,21	3,5	6,0	4,7
0,83	0,21	3,5	6,0	4,7
0,85	0,21	3,5	6,0	4,7
0,87	0,22	3,5	6,0	4,7
0,90	0,21	3,5	6,0	4,7
0,92	0,21	3,5	6,0	4,7
0,95	0,23	3,5	6,0	4,7
0,97	0,23	3,5	6,0	4,7
1,00	0,24	3,5	6,0	4,7
1,02	0,23	3,5	6,0	4,7
1,05	0,23	3,5	6,0	4,7
1,07	0,23	3,5	6,0	4,7
1,09	0,23	3,5	6,0	4,7
1,12	0,24	3,5	6,0	4,7
1,14	0,24	3,5	6,0	4,7
1,17	0,24	3,5	6,0	4,7
1,19	0,24	3,5	6,0	4,7
1,22	0,23	3,5	6,0	4,7
1,24	0,25	3,5	6,0	4,7
1,26	0,25	3,5	6,0	4,7
1,29	0,26	3,5	6,0	4,7
1,31	0,25	3,5	6,0	4,7
1,34	0,25	3,5	6,0	4,7
1,36	0,25	3,5	6,0	4,7
1,39	0,26	3,5	6,0	4,7
1,41	0,26	3,5	6,0	4,7
1,44	0,26	3,5	6,0	4,7
1,46	0,26	3,5	6,0	4,7
1,48	0,26	3,5	6,0	4,7
1,51	0,26	3,5	6,0	4,7
1,53	0,26	3,5	6,0	4,7
1,56	0,26	3,5	6,0	4,7
1,58	0,27	3,5	6,0	4,7
1,61	0,26	3,5	6,0	4,7
1,63	0,26	3,5	6,0	4,7
1,66	0,27	3,5	6,0	4,7
1,68	0,28	3,5	6,0	4,7
1,70	0,28	3,5	6,0	4,7
1,73	0,29	3,5	6,0	4,7
1,75	0,28	3,5	6,0	4,7
1,78	0,27	3,5	6,0	4,7
1,80	0,28	3,5	6,0	4,7
1,83	0,29	3,5	6,0	4,7
1,85	0,29	3,5	6,0	4,7
1,88	0,29	3,5	6,0	4,7
1,90	0,28	3,5	6,0	4,7
1,92	0,29	3,5	6,0	4,7
1,95	0,29	3,5	6,0	4,7
1,97	0,30	3,5	6,0	4,7
2,00	0,30	3,5	6,0	4,7
2,02	0,30	3,5	6,0	4,7
2,05	0,30	3,5	6,0	4,7
2,07	0,31	3,5	6,0	4,7
2,10	0,31	3,5	6,0	4,7
2,12	0,32	3,5	6,0	4,7
2,14	0,32	3,5	6,0	4,7
2,17	0,33	3,5	6,0	4,7
2,19	0,32	3,5	6,0	4,7
2,22	0,32	3,5	6,0	4,7
2,24	0,32	3,5	6,0	4,7
2,27	0,33	3,5	6,0	4,7
2,29	0,33	3,5	6,0	4,7
2,31	0,33	3,5	6,0	4,7
2,34	0,32	3,5	6,0	4,7
2,36	0,33	3,5	6,0	4,7
2,39	0,33	3,5	6,0	4,7
2,41	0,33	3,5	6,0	4,7
2,44	0,33	3,5	6,0	4,7
2,46	0,33	3,5	6,0	4,7
2,49	0,33	3,5	6,0	4,7
2,51	0,34	3,5	6,0	4,7
2,53	0,34	3,5	6,0	4,7
2,56	0,35	3,5	6,0	4,7
2,58	0,35	3,5	6,0	4,7
2,61	0,35	3,5	6,0	4,7
2,63	0,35	3,5	6,0	4,7
2,66	0,35	3,5	6,0	4,7
2,68	0,36	3,5	6,0	4,7
2,71	0,36	3,5	6,0	4,7
2,73	0,36	3,5	6,0	4,7
2,75	0,36	3,5	6,0	4,7
2,78	0,36	3,5	6,0	4,7
2,80	0,36	3,5	6,0	4,7
2,83	0,36	3,5	6,0	4,7
2,85	0,37	3,5	6,0	4,7
2,88	0,36	3,5	6,0	4,7
2,90	0,36	3,5	6,0	4,7
2,93	0,36	3,5	6,0	4,7
2,95	0,37	3,5	6,0	4,7
2,97	0,37	3,5	6,0	4,7
3,00	0,38	3,5	6,0	4,7
3,02	0,38	3,5	6,0	4,7
3,05	0,38	3,5	6,0	4,7
3,07	0,37	3,5	6,0	4,7
3,10	0,37	3,5	6,0	4,7
3,12	0,38	3,5	6,0	4,7
3,15	0,38	3,5	6,0	4,7
3,17	0,38	3,5	6,0	4,7
3,19	0,38	3,5	6,0	4,7
3,22	0,38	3,5	6,0	4,7
3,24	0,38	3,5	6,0	4,7
3,27	0,39	3,5	6,0	4,7
3,29	0,40	3,5	6,0	4,7
3,32	0,39	3,5	6,0	4,7
3,34	0,38	3,5	6,0	4,7
3,36	0,40	3,5	6,0	4,7
3,39	0,40	3,5	6,0	4,7
3,41	0,40	3,5	6,0	4,7
3,44	0,41	3,5	6,0	4,7
3,46	0,40	3,5	6,0	4,7
3,49	0,40	3,5	6,0	4,7
3,51	0,39	3,5	6,0	4,7
3,54	0,41	3,5	6,0	4,7
3,56	0,41	3,5	6,0	4,7
3,58	0,41	3,5	6,0	4,7
3,61	0,41	3,5	6,0	4,7
3,63	0,41	3,5	6,0	4,7
3,66	0,41	3,5	6,0	4,7
3,68	0,41	3,5	6,0	4,7
3,71	0,43	3,5	6,0	4,7
3,73	0,43	3,5	6,0	4,7
3,76	0,42	3,5	6,0	4,7
3,78	0,42	3,5	6,0	4,7
3,80	0,43	3,5	6,0	4,7
3,83	0,44	3,5	6,0	4,7
3,85	0,44	3,5	6,0	4,7
3,88	0,43	3,5	6,0	4,7
3,90	0,43	3,5	6,0	4,7
3,93	0,43	3,5	6,0	4,7
3,95	0,43	3,5	6,0	4,7
3,98	0,42	3,5	6,0	4,7
4,00	0,43	3,5	6,0	4,7
4,02	0,43	3,5	6,0	4,7
4,05	0,43	3,5	6,0	4,7
4,07	0,43	3,5	6,0	4,7
4,10	0,44	3,5	6,0	4,7
4,12	0,44	3,5	6,0	4,7
4,15	0,45	3,5	6,0	4,7
4,17	0,45	3,5	6,0	4,7
4,20	0,44	3,5	6,0	4,7
4,22	0,44	3,5	6,0	4,7
4,24	0,45	3,5	6,0	4,7
4,27	0,45	3,5	6,0	4,7
4,29	0,45	3,5	6,0	4,7
4,32	0,44	3,5	6,0	4,7
4,34	0,44	3,5	6,0	4,7
4,37	0,44	3,5	6,0	4,7
4,39	0,44	3,5	6,0	4,7
4,42	0,45	3,5	6,0	4,7
4,44	0,44	3,5	6,0	4,7
4,46	0,44	3,5	6,0	4,7
4,49	0,45	3,5	6,0	4,7
4,51	0,45	3,5	6,0	4,7
4,54	0,46	3,5	6,0	4,7
4,56	0,46	3,5	6,0	4,7
4,59	0,47	3,5	6,0	4,7
4,61	0,46	3,5	6,0	4,7
4,63	0,45	3,5	6,0	4,7
4,66	0,46	3,5	6,0	4,7
4,68	0,47	3,5	6,0	4,7
4,71	0,47	3,5	6,0	4,7
4,73	0,46	3,5	6,0	4,7
4,76	0,46	3,5	6,0	4,7
4,78	0,46	3,5	6,0	4,7
4,81	0,46	3,5	6,0	4,7
4,83	0,47	3,5	6,0	4,7
4,85	0,47	3,5	6,0	4,7
4,88	0,47	3,5	6,0	4,7
4,90	0,47	3,5	6,0	4,7
4,93	0,48	3,5	6,0	4,7
4,95	0,48	3,5	6,0	4,7
4,98	0,49	3,5	6,0	4,7
5,00	0,49	3,5	6,0	4,7
5,03	0,50	3,5	6,0	4,7
5,05	0,49	3,5	6,0	4,7
5,07	0,48	3,5	6,0	4,7
5,10	0,49	3,5	6,0	4,7
5,12	0,50	3,5	6,0	4,7
5,15	0,49	3,5	6,0	4,7
5,17	0,49	3,5	6,0	4,7
5,20	0,48	3,5	6,0	4,7
5,22	0,49	3,5	6,0	4,7
5,25	0,48	3,5	6,0	4,7
5,27	0,49	3,5	6,0	4,7
5,29	0,49	3,5	6,0	4,7
5,32	0,49	3,5	6,0	4,7
5,34	0,49	3,5	6,0	4,7
5,37	0,50	3,5	6,0	4,7
5,39	0,50	3,5	6,0	4,7
5,42	0,50	3,5	6,0	4,7
5,44	0,50	3,5	6,0	4,7
5,47	0,51	3,5	6,0	4,7
5,49	0,50	3,5	6,0	4,7
5,51	0,50	3,5	6,0	4,7
5,54	0,51	3,5	6,0	4,7
5,56	0,51	3,5	6,0	4,7
5,59	0,51	3,5	6,0	4,7
5,61	0,51	3,5	6,0	4,7
5,64	0,50	3,5	6,0	4,7
5,66	0,50	3,5	6,0	4,7
5,68	0,50	3,5	6,0	4,7
5,71	0,51	3,5	6,0	4,7
5,73	0,51	3,5	6,0	4,7
5,76	0,50	3,5	6,0	4,7
5,78	0,51	3,5	6,0	4,7
5,81	0,51	3,5	6,0	4,7
5,83	0,52	3,5	6,0	4,7
5,86	0,52	3,5	6,0	4,7
5,88	0,52	3,5	6,0	4,7
5,90	0,53	3,5	6,0	4,7
5,93	0,52	3,5	6,0	4,7
5,95	0,52	3,5	6,0	4,7
5,98	0,53	3,5	6,0	4,7
6,00	0,53	3,5	6,0	4,7
6,03	0,53	3,5	6,0	4,7
6,05	0,52	3,5	6,0	4,7
6,08	0,52	3,5	6,0	4,7
6,10	0,52	3,5	6,0	4,7
6,12	0,52	3,5	6,0	4,7
6,15	0,53	3,5	6,0	4,7
6,17	0,52	3,5	6,0	4,7
6,20	0,52	3,5	6,0	4,7
6,22	0,53	3,5	6,0	4,7
6,25	0,54	3,5	6,0	4,7
6,27	0,54	3,5	6,0	4,7
6,30	0,54	3,5	6,0	4,7
6,32	0,55	3,5	6,0	4,7
6,34	0,54	3,5	6,0	4,7
6,37	0,54	3,5	6,0	4,7
6,39	0,55	3,5	6,0	4,7
6,42	0,55	3,5	6,0	4,7
6,44	0,55	3,5	6,0	4,7
